LOAD_ZONE	TIMEPOINT	lz_demand_mw
S11	412257	6.26961860449875
S11	412261	8.32207686888709
S11	412265	8.5625993217451
S11	412269	8.6107038123167
S11	412708	6.26961860449875
S11	412712	5.38770294401939
S11	412716	7.55240501974147
S11	412720	8.25793754812496
S11	412724	7.88913645374268
S11	412728	9.82935090679728
S11	499897	10.8760274289437
S11	499901	8.18415636868616
S11	499905	8.48807729484427
S11	499909	11.2667829054327
S11	499913	11.5924124691735
S11	499917	11.6575383819217
S11	500186	9.92084737530391
S11	500190	8.59662048275788
S11	500194	8.87883277133326
S11	500198	10.3550201269584
S11	500202	10.6372324155337
S11	500206	13.8501107777766
S11	587569	14.5536347060654
S11	587573	10.9515374933866
S11	587577	11.3582258883664
S11	587581	15.0765197853253
S11	587585	15.5122573513751
S11	587589	15.5994048645851
S11	587858	13.2754711789858
S11	587862	11.5034717437164
S11	587866	11.8811109676263
S11	587870	13.8564546003857
S11	587874	14.2340938242955
S11	587878	18.5333711426542
S12	324505	37.0674488983179
S12	324509	34.7015835578353
S12	324513	44.7084462705426
S12	324517	53.1745592073374
S12	324521	51.8100477073525
S12	324525	44.8486358082123
S12	325036	44.1249907661459
S12	325040	42.4280297911158
S12	325044	53.5524033898186
S12	325048	54.7793956290418
S12	325052	48.2519037274506
S12	325056	53.8941988340418
S12	412249	60.8743404117245
S12	412253	51.9000255775095
S12	412257	61.5910454980578
S12	412261	73.5178934996359
S12	412265	75.6297115402824
S12	412269	63.3162440010384
S12	412708	60.2707033033877
S12	412712	57.9528097544572
S12	412716	73.1476870555503
S12	412720	74.8236462777904
S12	412724	65.9076891096382
S12	412728	73.6145483840524
S12	499897	84.8888283562089
S12	499901	72.3742110901543
S12	499905	85.8882684264303
S12	499909	102.520171885076
S12	499913	105.465086901149
S12	499917	88.2940452875739
S12	500186	86.435035894872
S12	500190	81.3386544680942
S12	500194	101.505473187829
S12	500198	105.571897290333
S12	500202	103.407715357105
S12	500206	95.7275397538771
S12	587569	117.739513998788
S12	587573	100.381930164515
S12	587577	119.125722177383
S12	587581	142.193919347907
S12	587585	146.278471690944
S12	587589	122.46249809838
S12	587858	119.884080341246
S12	587862	112.81547680459
S12	587866	140.786547685668
S12	587870	146.426616076443
S12	587874	143.424928646456
S12	587878	132.77264187964
S13	324505	313.376969363694
S13	324509	289.88166623636
S13	324513	306.008433198115
S13	324517	323.508291509337
S13	324521	342.832850416768
S13	324525	305.570106576278
S13	325036	302.903619626769
S13	325040	202.317621883841
S13	325044	311.698377641432
S13	325048	301.93066735254
S13	325052	312.583332525671
S13	325056	312.614878759818
S13	412249	501.059593820056
S13	412253	502.998040274852
S13	412257	477.850626807234
S13	412261	509.622812010227
S13	412265	496.857880153175
